iter	Passed	Remaining
269	739	1998
270	740	1993
271	742	1988
272	744	1983
273	746	1978
274	749	1975
275	751	1972
276	754	1968
277	756	1964
278	758	1959
279	760	1954
280	761	1949
281	764	1947
282	767	1944
283	769	1939
284	771	1934
285	772	1929
286	774	1924
287	776	1919
288	780	1919
289	783	1918
290	785	1914
291	788	1910
292	790	1906
293	792	1902
294	795	1901
295	797	1897
296	799	1893
297	801	1887
298	803	1883
299	805	1879
300	807	1875
301	809	1871
302	812	1869
303	814	1865
304	816	1860
305	818	1857
306	820	1852
307	822	1848
308	825	1844
309	827	1841
310	829	1836
311	830	1831
312	832	1827
313	834	1823
314	836	1819
315	839	1817
316	842	1814
317	844	1810
318	845	1805
319	847	1801
320	849	1796
321	851	1792
322	853	1788
323	855	1785
324	857	1781
325	859	1776
326	861	1772
327	863	1769
328	865	1765
329	867	1761
330	869	1758
331	871	1754
332	873	1749
333	875	1745
334	877	1742
335	879	1737
336	880	1733
337	882	1728
338	885	1726
339	887	1722
340	889	1718
341	890	1714
342	892	1710
343	894	1705
344	896	1702
345	899	1699
346	901	1695
347	903	1693
348	905	1689
349	907	1685
350	910	1682
351	912	1679
352	914	1676
353	916	1673
354	919	1669
355	921	1666
356	923	1662
357	924	1658
358	926	1655
359	929	1652
360	931	1648
361	933	1646
362	935	1642
363	937	1638
364	939	1634
365	941	1630
366	943	1627
367	945	1624
368	947	1620
369	950	1617
370	952	1614
371	954	1610
372	956	1607
373	958	1604
374	961	1602
375	963	1598
376	965	1594
377	966	1591
378	968	1587
379	970	1583
380	973	1580
381	975	1577
382	977	1574
383	979	1571
384	981	1567
385	983	1563
386	984	1559
387	986	1556
388	989	1553
389	991	1550
390	993	1546
391	994	1542
392	996	1539
393	998	1535
394	1000	1531
395	1002	1529
396	1004	1526
397	1007	1523
398	1008	1519
399	1010	1516
400	1012	1512
401	1015	1510
402	1017	1507
403	1019	1504
404	1021	1501
405	1023	1497
406	1025	1494
407	1027	1490
408	1029	1488
409	1032	1485
410	1034	1482
411	1036	1479
412	1038	1476
413	1041	1474
414	1043	1471
415	1045	1467
416	1048	1466
417	1051	1463
418	1053	1460
419	1055	1458
420	1059	1456
421	1061	1453
422	1063	1451
423	1066	1448
424	1068	1445
425	1070	1442
426	1072	1439
427	1074	1435
428	1076	1432
429	1079	1430
430	1082	1429
431	1084	1426
432	1086	1423
433	1088	1420
434	1090	1416
435	1092	1413
436	1095	1411
437	1097	1408
438	1099	1405
439	1102	1402
440	1103	1399
441	1105	1395
442	1109	1395
443	1111	1392
444	1113	1389
445	1115	1386
446	1117	1383
